"","P.A.","P..A.","P.B.","P..B.","P.A.B.","P.A..B.","P..A.B.","P..B..A.","P.A.B..1","P.A..B..1","P..A.B..1","P..B..A..1"
"1",0,1,0,1,0,0,0,1,0,1,1,1
"2",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
"3",0.2,0.8,0,1,0,0.2,0,0.8,0.2,1,0.8,1
"4",0.3,0.7,0,1,0,0.3,0,0.7,0.3,1,0.7,1
"5",0.4,0.6,0,1,0,0.4,0,0.6,0.4,1,0.6,1
"6",0.5,0.5,0,1,0,0.5,0,0.5,0.5,1,0.5,1
"7",0.6,0.4,0,1,0,0.6,0,0.4,0.6,1,0.4,1
"8",0.7,0.3,0,1,0,0.7,0,0.3,0.7,1,0.3,1
"9",0.8,0.2,0,1,0,0.8,0,0.2,0.8,1,0.2,1
"10",0.9,0.1,0,1,0,0.9,0,0.1,0.9,1,0.1,1
"11",1,0,0,1,0,1,0,0,1,1,0,1
"12",0,1,0,1,0,0,0,1,0,1,1,1
"13",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
"14",0.2,0.8,0,1,0,0.2,0,0.8,0.2,1,0.8,1
"15",0.3,0.7,0,1,0,0.3,0,0.7,0.3,1,0.7,1
"16",0.4,0.6,0,1,0,0.4,0,0.6,0.4,1,0.6,1
"17",0.5,0.5,0,1,0,0.5,0,0.5,0.5,1,0.5,1
"18",0.6,0.4,0,1,0,0.6,0,0.4,0.6,1,0.4,1
"19",0.7,0.3,0,1,0,0.7,0,0.3,0.7,1,0.3,1
"20",0.8,0.2,0,1,0,0.8,0,0.2,0.8,1,0.2,1
"21",0.9,0.1,0,1,0,0.9,0,0.1,0.9,1,0.1,1
"22",1,0,0,1,0,1,0,0,1,1,0,1
"23",0,1,0,1,0,0,0,1,0,1,1,1
"24",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
"25",0.2,0.8,0,1,0,0.2,0,0.8,0.2,1,0.8,1
"26",0.3,0.7,0,1,0,0.3,0,0.7,0.3,1,0.7,1
"27",0.4,0.6,0,1,0,0.4,0,0.6,0.4,1,0.6,1
"28",0.5,0.5,0,1,0,0.5,0,0.5,0.5,1,0.5,1
"29",0.6,0.4,0,1,0,0.6,0,0.4,0.6,1,0.4,1
"30",0.7,0.3,0,1,0,0.7,0,0.3,0.7,1,0.3,1
"31",0.8,0.2,0,1,0,0.8,0,0.2,0.8,1,0.2,1
"32",0.9,0.1,0,1,0,0.9,0,0.1,0.9,1,0.1,1
"33",1,0,0,1,0,1,0,0,1,1,0,1
"34",0,1,0,1,0,0,0,1,0,1,1,1
"35",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
"36",0.2,0.8,0,1,0,0.2,0,0.8,0.2,1,0.8,1
"37",0.3,0.7,0,1,0,0.3,0,0.7,0.3,1,0.7,1
"38",0.4,0.6,0,1,0,0.4,0,0.6,0.4,1,0.6,1
"39",0.5,0.5,0,1,0,0.5,0,0.5,0.5,1,0.5,1
"40",0.6,0.4,0,1,0,0.6,0,0.4,0.6,1,0.4,1
"41",0.7,0.3,0,1,0,0.7,0,0.3,0.7,1,0.3,1
"42",0.8,0.2,0,1,0,0.8,0,0.2,0.8,1,0.2,1
"43",0.9,0.1,0,1,0,0.9,0,0.1,0.9,1,0.1,1
"44",1,0,0,1,0,1,0,0,1,1,0,1
"45",0,1,0,1,0,0,0,1,0,1,1,1
"46",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
"47",0.2,0.8,0,1,0,0.2,0,0.8,0.2,1,0.8,1
"48",0.3,0.7,0,1,0,0.3,0,0.7,0.3,1,0.7,1
"49",0.4,0.6,0,1,0,0.4,0,0.6,0.4,1,0.6,1
"50",0.5,0.5,0,1,0,0.5,0,0.5,0.5,1,0.5,1
"51",0.6,0.4,0,1,0,0.6,0,0.4,0.6,1,0.4,1
"52",0.7,0.3,0,1,0,0.7,0,0.3,0.7,1,0.3,1
"53",0.8,0.2,0,1,0,0.8,0,0.2,0.8,1,0.2,1
"54",0.9,0.1,0,1,0,0.9,0,0.1,0.9,1,0.1,1
"55",1,0,0,1,0,1,0,0,1,1,0,1
"56",0,1,0,1,0,0,0,1,0,1,1,1
"57",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
"58",0.2,0.8,0,1,0,0.2,0,0.8,0.2,1,0.8,1
"59",0.3,0.7,0,1,0,0.3,0,0.7,0.3,1,0.7,1
"60",0.4,0.6,0,1,0,0.4,0,0.6,0.4,1,0.6,1
"61",0.5,0.5,0,1,0,0.5,0,0.5,0.5,1,0.5,1
"62",0.6,0.4,0,1,0,0.6,0,0.4,0.6,1,0.4,1
"63",0.7,0.3,0,1,0,0.7,0,0.3,0.7,1,0.3,1
"64",0.8,0.2,0,1,0,0.8,0,0.2,0.8,1,0.2,1
"65",0.9,0.1,0,1,0,0.9,0,0.1,0.9,1,0.1,1
"66",1,0,0,1,0,1,0,0,1,1,0,1
"67",0,1,0,1,0,0,0,1,0,1,1,1
"68",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
"69",0.2,0.8,0,1,0,0.2,0,0.8,0.2,1,0.8,1
"70",0.3,0.7,0,1,0,0.3,0,0.7,0.3,1,0.7,1
"71",0.4,0.6,0,1,0,0.4,0,0.6,0.4,1,0.6,1
"72",0.5,0.5,0,1,0,0.5,0,0.5,0.5,1,0.5,1
"73",0.6,0.4,0,1,0,0.6,0,0.4,0.6,1,0.4,1
"74",0.7,0.3,0,1,0,0.7,0,0.3,0.7,1,0.3,1
"75",0.8,0.2,0,1,0,0.8,0,0.2,0.8,1,0.2,1
"76",0.9,0.1,0,1,0,0.9,0,0.1,0.9,1,0.1,1
"77",1,0,0,1,0,1,0,0,1,1,0,1
"78",0,1,0,1,0,0,0,1,0,1,1,1
"79",0.1,0.9,0,1,0,0.1,0,0.9,0.1,1,0.9,1
