"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)"
"1","4 1 3 2","4 3 2 1","4 3 2 1"
"2","3 2 4 1","4 2 3 1","4 2 3 1"
"3","2 3 4 1","4 1 3 2","3 2 4 1"
"4","2 3 4 1","4 1 2 3","2 3 4 1"
"5","4 1 3 2","3 4 2 1","4 3 1 2"
"6","1 4 3 2","3 1 2 4","1 3 4 2"
"7","4 1 3 2","2 4 3 1","4 2 1 3"
"8","3 2 4 1","3 2 4 1","4 1 3 2"
"9","2 3 4 1","3 1 4 2","3 1 4 2"
"10","1 4 3 2","2 1 3 4","1 2 4 3"
"11","3 2 4 1","2 3 4 1","4 1 2 3"
"12","1 4 3 2","2 1 4 3","2 1 4 3"
"13","3 2 4 1","4 1 3 2","3 2 4 1"
"14","2 3 4 1","3 2 4 1","4 1 3 2"
"15","4 1 3 2","3 4 2 1","4 3 2 1"
"16","2 3 4 1","4 1 3 2","2 3 4 1"
"17","2 3 4 1","4 1 2 3","3 2 4 1"
"18","3 2 4 1","2 3 4 1","4 1 3 2"
"19","1 4 3 2","2 1 4 3","1 2 4 3"
"20","4 1 3 2","4 3 2 1","4 3 1 2"
"21","3 2 4 1","3 2 4 1","4 1 2 3"
"22","3 2 4 1","4 1 2 3","2 3 4 1"
"23","2 3 4 1","2 3 4 1","4 1 2 3"
"24","1 4 3 2","2 1 3 4","2 1 4 3"
"25","4 1 3 2","4 3 1 2","3 4 2 1"
"26","4 1 3 2","4 2 1 3","2 4 3 1"
"27","1 4 3 2","1 2 4 3","2 1 3 4"
"28","1 4 3 2","1 3 4 2","3 1 2 4"
"29","4 1 3 2","4 2 1 3","2 3 4 1"
"30","3 2 4 1","4 1 2 3","2 4 3 1"
"31","4 1 3 2","4 3 2 1","3 4 2 1"
"32","3 2 4 1","2 3 4 1","4 2 1 3"
"33","4 1 2 3","4 3 1 2","3 4 2 1"
"34","4 1 2 3","4 2 1 3","2 4 3 1"
"35","4 1 2 3","3 4 1 2","3 4 1 2"
"36","3 2 1 4","3 2 1 4","1 4 3 2"
"37","2 3 1 4","3 2 1 4","1 4 3 2"
"38","4 1 2 3","3 4 2 1","4 3 1 2"
"39","1 4 2 3","3 1 2 4","1 3 4 2"
"40","4 1 2 3","2 4 3 1","4 2 1 3"
"41","3 2 1 4","1 4 3 2","3 2 1 4"
"42","1 4 2 3","1 2 3 4","1 2 3 4"
"43","1 4 2 3","2 1 3 4","1 2 4 3"
"44","2 3 1 4","1 4 3 2","3 2 1 4"
"45","1 4 2 3","1 3 4 2","3 1 2 4"
"46","1 4 2 3","1 2 4 3","2 1 3 4"
"47","3 2 1 4","2 4 1 3","2 4 1 3"
"48","3 2 1 4","2 3 1 4","1 4 2 3"
"49","2 3 1 4","2 3 1 4","1 4 2 3"
"50","3 2 1 4","1 4 2 3","2 3 1 4"
"51","2 3 1 4","1 4 2 3","2 3 1 4"
"52","2 3 1 4","1 3 2 4","1 3 2 4"
"53","3 2 1 4","3 2 1 4","1 4 2 3"
"54","4 1 2 3","2 4 3 1","3 2 1 4"
"55","2 3 1 4","1 4 3 2","2 3 1 4"
"56","1 4 2 3","1 2 4 3","1 2 3 4"
"57","1 4 2 3","1 2 3 4","2 1 3 4"
"58","4 1 2 3","3 4 1 2","3 4 2 1"
"59","2 3 1 4","1 4 2 3","3 2 1 4"
"60","3 2 1 4","2 3 1 4","1 4 3 2"
"61","4 1 2 3","4 3 1 2","3 4 1 2"
