"","Count","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","number","freq"
"1",1,"1 4 2 3","1 2 3 4",2,0.285714285714286
"2",2,"1 4 2 3","1 2 4 3",2,0.285714285714286
"3",3,"1 4 2 3","1 3 4 2",1,0.142857142857143
"4",4,"1 4 2 3","2 1 3 4",1,0.142857142857143
"5",5,"1 4 2 3","3 1 2 4",1,0.142857142857143
"6",1,"1 4 3 2","1 2 4 3",1,0.142857142857143
"7",2,"1 4 3 2","1 3 4 2",1,0.142857142857143
"8",3,"1 4 3 2","2 1 3 4",2,0.285714285714286
"9",4,"1 4 3 2","2 1 4 3",2,0.285714285714286
"10",5,"1 4 3 2","3 1 2 4",1,0.142857142857143
"11",1,"2 3 1 4","1 3 2 4",1,0.142857142857143
"12",2,"2 3 1 4","1 4 2 3",2,0.285714285714286
"13",3,"2 3 1 4","1 4 3 2",2,0.285714285714286
"14",4,"2 3 1 4","2 3 1 4",1,0.142857142857143
"15",5,"2 3 1 4","3 2 1 4",1,0.142857142857143
"16",1,"2 3 4 1","2 3 4 1",1,0.142857142857143
"17",2,"2 3 4 1","3 1 4 2",1,0.142857142857143
"18",3,"2 3 4 1","3 2 4 1",1,0.142857142857143
"19",4,"2 3 4 1","4 1 2 3",2,0.285714285714286
"20",5,"2 3 4 1","4 1 3 2",2,0.285714285714286
"21",1,"3 2 1 4","1 4 2 3",1,0.142857142857143
"22",2,"3 2 1 4","1 4 3 2",1,0.142857142857143
"23",3,"3 2 1 4","2 3 1 4",2,0.285714285714286
"24",4,"3 2 1 4","2 4 1 3",1,0.142857142857143
"25",5,"3 2 1 4","3 2 1 4",2,0.285714285714286
"26",1,"3 2 4 1","2 3 4 1",3,0.333333333333333
"27",2,"3 2 4 1","3 2 4 1",2,0.222222222222222
"28",3,"3 2 4 1","4 1 2 3",2,0.222222222222222
"29",4,"3 2 4 1","4 1 3 2",1,0.111111111111111
"30",5,"3 2 4 1","4 2 3 1",1,0.111111111111111
"31",1,"4 1 2 3","2 4 3 1",2,0.25
"32",2,"4 1 2 3","3 4 1 2",2,0.25
"33",3,"4 1 2 3","3 4 2 1",1,0.125
"34",4,"4 1 2 3","4 2 1 3",1,0.125
"35",5,"4 1 2 3","4 3 1 2",2,0.25
"36",1,"4 1 3 2","2 4 3 1",1,0.111111111111111
"37",2,"4 1 3 2","3 4 2 1",2,0.222222222222222
"38",3,"4 1 3 2","4 2 1 3",2,0.222222222222222
"39",4,"4 1 3 2","4 3 1 2",1,0.111111111111111
"40",5,"4 1 3 2","4 3 2 1",3,0.333333333333333
