"","Count","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","number","freq"
"1",1,"1 4 2 3","1 2 3 4",5,0.178571428571429
"2",2,"1 4 2 3","1 2 3.5 3.5",3,0.107142857142857
"3",3,"1 4 2 3","1 2 4 3",3,0.107142857142857
"4",4,"1 4 2 3","1 2.5 2.5 4",1,0.0357142857142857
"5",5,"1 4 2 3","1 2.5 4 2.5",3,0.107142857142857
"6",6,"1 4 2 3","1 3 4 2",2,0.0714285714285714
"7",7,"1 4 2 3","1.5 1.5 3 4",1,0.0357142857142857
"8",8,"1 4 2 3","2 1 3 4",2,0.0714285714285714
"9",9,"1 4 2 3","2.5 1 2.5 4",4,0.142857142857143
"10",10,"1 4 2 3","3 1 2 4",2,0.0714285714285714
"11",11,"1 4 2 3","3 1.5 1.5 4",2,0.0714285714285714
"12",1,"1 4 3 2","1 2 4 3",2,0.0714285714285714
"13",2,"1 4 3 2","1 2.5 4 2.5",4,0.142857142857143
"14",3,"1 4 3 2","1 3 4 2",2,0.0714285714285714
"15",4,"1 4 3 2","1.5 1.5 4 3",2,0.0714285714285714
"16",5,"1 4 3 2","1.5 3 4 1.5",2,0.0714285714285714
"17",6,"1 4 3 2","2 1 3 4",3,0.107142857142857
"18",7,"1 4 3 2","2 1 3.5 3.5",3,0.107142857142857
"19",8,"1 4 3 2","2 1 4 3",5,0.178571428571429
"20",9,"1 4 3 2","2.5 1 2.5 4",3,0.107142857142857
"21",10,"1 4 3 2","3 1 2 4",2,0.0714285714285714
"22",1,"2 3 1 4","1 2.5 2.5 4",2,0.0740740740740741
"23",2,"2 3 1 4","1 3 2 4",2,0.0740740740740741
"24",3,"2 3 1 4","1 3.5 2 3.5",3,0.111111111111111
"25",4,"2 3 1 4","1 4 2 3",3,0.111111111111111
"26",5,"2 3 1 4","1 4 2.5 2.5",3,0.111111111111111
"27",6,"2 3 1 4","1 4 3 2",4,0.148148148148148
"28",7,"2 3 1 4","1.5 3 1.5 4",3,0.111111111111111
"29",8,"2 3 1 4","2 3 1 4",2,0.0740740740740741
"30",9,"2 3 1 4","2.5 2.5 1 4",2,0.0740740740740741
"31",10,"2 3 1 4","3 2 1 4",3,0.111111111111111
"32",1,"2 3 4 1","2 3 4 1",2,0.0740740740740741
"33",2,"2 3 4 1","2.5 1 4 2.5",2,0.0740740740740741
"34",3,"2 3 4 1","2.5 2.5 4 1",3,0.111111111111111
"35",4,"2 3 4 1","3 1 4 2",2,0.0740740740740741
"36",5,"2 3 4 1","3 1.5 4 1.5",3,0.111111111111111
"37",6,"2 3 4 1","3 2 4 1",2,0.0740740740740741
"38",7,"2 3 4 1","3.5 1 3.5 2",3,0.111111111111111
"39",8,"2 3 4 1","4 1 2 3",4,0.148148148148148
"40",9,"2 3 4 1","4 1 2.5 2.5",3,0.111111111111111
"41",10,"2 3 4 1","4 1 3 2",3,0.111111111111111
"42",1,"3 2 1 4","1 4 2 3",2,0.08
"43",2,"3 2 1 4","1 4 2.5 2.5",2,0.08
"44",3,"3 2 1 4","1 4 3 2",3,0.12
"45",4,"3 2 1 4","1.5 4 1.5 3",3,0.12
"46",5,"3 2 1 4","2 3 1 4",3,0.12
"47",6,"3 2 1 4","2 3.5 1 3.5",3,0.12
"48",7,"3 2 1 4","2 4 1 3",2,0.08
"49",8,"3 2 1 4","2.5 2.5 1 4",3,0.12
"50",9,"3 2 1 4","3 2 1 4",4,0.16
"51",1,"3 2 4 1","2 3 4 1",5,0.172413793103448
"52",2,"3 2 4 1","2.5 2.5 4 1",3,0.103448275862069
"53",3,"3 2 4 1","3 2 4 1",3,0.103448275862069
"54",4,"3 2 4 1","3.5 2 3.5 1",3,0.103448275862069
"55",5,"3 2 4 1","4 1 2 3",4,0.137931034482759
"56",6,"3 2 4 1","4 1 2.5 2.5",3,0.103448275862069
"57",7,"3 2 4 1","4 1 3 2",1,0.0344827586206897
"58",8,"3 2 4 1","4 1.5 1.5 3",1,0.0344827586206897
"59",9,"3 2 4 1","4 1.5 3 1.5",3,0.103448275862069
"60",10,"3 2 4 1","4 2 3 1",2,0.0689655172413793
"61",11,"3 2 4 1","4 2.5 2.5 1",1,0.0344827586206897
"62",1,"4 1 2 3","2 4 3 1",2,0.08
"63",2,"4 1 2 3","2.5 4 2.5 1",3,0.12
"64",3,"4 1 2 3","3 4 1 2",5,0.2
"65",4,"4 1 2 3","3 4 1.5 1.5",2,0.08
"66",5,"4 1 2 3","3 4 2 1",2,0.08
"67",6,"4 1 2 3","3.5 3.5 1 2",3,0.12
"68",7,"4 1 2 3","4 2 1 3",2,0.08
"69",8,"4 1 2 3","4 2.5 1 2.5",3,0.12
"70",9,"4 1 2 3","4 3 1 2",3,0.12
"71",1,"4 1 3 2","2 4 3 1",2,0.0714285714285714
"72",2,"4 1 3 2","2.5 4 2.5 1",3,0.107142857142857
"73",3,"4 1 3 2","3 4 2 1",3,0.107142857142857
"74",4,"4 1 3 2","3.5 3.5 2 1",3,0.107142857142857
"75",5,"4 1 3 2","4 2 1 3",3,0.107142857142857
"76",6,"4 1 3 2","4 2.5 1 2.5",3,0.107142857142857
"77",7,"4 1 3 2","4 2.5 2.5 1",2,0.0714285714285714
"78",8,"4 1 3 2","4 3 1 2",2,0.0714285714285714
"79",9,"4 1 3 2","4 3 1.5 1.5",1,0.0357142857142857
"80",10,"4 1 3 2","4 3 2 1",6,0.214285714285714
