"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","number","freq"
"1","1 4 2 3","1 2 3 4",5,0.178571428571429
"2","1 4 2 3","1 2 3.5 3.5",3,0.107142857142857
"3","1 4 2 3","1 2 4 3",3,0.107142857142857
"4","1 4 2 3","1 2.5 2.5 4",1,0.0357142857142857
"5","1 4 2 3","1 2.5 4 2.5",3,0.107142857142857
"6","1 4 2 3","1 3 4 2",2,0.0714285714285714
"7","1 4 2 3","1.5 1.5 3 4",1,0.0357142857142857
"8","1 4 2 3","2 1 3 4",2,0.0714285714285714
"9","1 4 2 3","2.5 1 2.5 4",4,0.142857142857143
"10","1 4 2 3","3 1 2 4",2,0.0714285714285714
"11","1 4 2 3","3 1.5 1.5 4",2,0.0714285714285714
