"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)"
"1","4 1 3 2","4 3 2 1","4 3 2 1"
"2","3 2 4 1","4 2 3 1","4 2 3 1"
"3","2 3 4 1","4 1 3 2","3 2 4 1"
"4","2 3 4 1","4 1 2 3","2 3 4 1"
"5","4 1 3 2","3 4 2 1","4 3 1 2"
"6","2 3 4 1","4 1 3 2","2.5 2.5 4 1"
"7","1 4 3 2","3 1 2 4","1 3 4 2"
"8","4 1 3 2","2 4 3 1","4 2 1 3"
"9","3 2 4 1","3 2 4 1","4 1 3 2"
"10","2 3 4 1","3 1 4 2","3 1 4 2"
"11","1 4 3 2","2 1 3 4","1 2 4 3"
"12","1.5 3 4 1.5","3 1 4 2","2.5 1 4 2.5"
"13","3 2 4 1","2 3 4 1","4 1 2 3"
"14","1 4 3 2","2 1 4 3","2 1 4 3"
"15","3 2 4 1","4 1 3 2","3 2 4 1"
"16","2.5 2.5 4 1","4 1 3 2","3 2 4 1"
"17","1.5 3 4 1.5","4 1 2 3","1.5 3 4 1.5"
"18","1 4 3 2","2 1 4 3","1.5 1.5 4 3"
"19","2 3 4 1","3 1 4 2","2.5 1 4 2.5"
"20","2 3 4 1","3 2 4 1","4 1 3 2"
"21","2.5 2.5 4 1","3 2 4 1","4 1 3 2"
"22","2 3 4 1","4 1 2 3","2.5 2.5 4 1"
"23","4 1 3 2","3 4 2 1","4 3 2 1"
"24","1.5 3 4 1.5","4 1 2 3","1 3 4 2"
"25","3.5 1.5 3.5 1.5","4 3 2 1","4 2.5 2.5 1"
"26","4 1 3 2","3 4 2 1","4 3 1.5 1.5"
"27","2 3 4 1","4 1 3 2","2 3 4 1"
"28","3.5 1.5 3.5 1.5","2 4 3 1","4 1.5 1.5 3"
"29","3 2 4 1","2 3 4 1","4 1 2.5 2.5"
"30","3 1.5 4 1.5","2 3 4 1","4 1.5 1.5 3"
"31","1.5 3 4 1.5","2 1 4 3","3 1 4 2"
"32","1 4 3 2","2 1 4 3","2.5 1 4 2.5"
"33","2 3 4 1","4 1 2 3","3 2 4 1"
"34","1.5 4 3 1.5","4 1 2 3","1.5 3 4 1.5"
"35","3 2 4 1","2 3 4 1","4 1 3 2"
"36","1 4 3 2","2 1 4 3","1 2 4 3"
"37","1.5 4 3 1.5","2 1 4 3","2.5 1 4 2.5"
