"","Count","P(A∨B)_P(A∨¬B)_P(¬A∨B)_P(¬B∨¬A)","P(A)_P(¬A)_P(B)_P(¬B)","number","freq"
"1",1,"1 2 3 4","1 4 2 3",2,1
"2",1,"1 2 4 3","1 4 2 3",1,0.333333333333333
"3",2,"1 2 4 3","1 4 3 2",2,0.666666666666667
"4",1,"1 3 2 4","2 3 1 4",1,1
"5",1,"1 3 4 2","1 4 2 3",1,0.5
"6",2,"1 3 4 2","1 4 3 2",1,0.5
"7",1,"1 4 2 3","2 3 1 4",1,0.333333333333333
"8",2,"1 4 2 3","3 2 1 4",2,0.666666666666667
"9",1,"1 4 3 2","2 3 1 4",1,0.333333333333333
"10",2,"1 4 3 2","3 2 1 4",2,0.666666666666667
"11",1,"2 1 3 4","1 4 2 3",2,0.666666666666667
"12",2,"2 1 3 4","1 4 3 2",1,0.333333333333333
"13",1,"2 1 4 3","1 4 3 2",2,1
"14",1,"2 3 1 4","2 3 1 4",2,0.666666666666667
"15",2,"2 3 1 4","3 2 1 4",1,0.333333333333333
"16",1,"2 3 4 1","2 3 4 1",2,0.5
"17",2,"2 3 4 1","3 2 4 1",1,0.25
"18",3,"2 3 4 1","4 1 3 2",1,0.25
"19",1,"2 4 1 3","3 2 1 4",1,1
"20",1,"2 4 3 1","3 2 4 1",1,0.333333333333333
"21",2,"2 4 3 1","4 1 2 3",1,0.333333333333333
"22",3,"2 4 3 1","4 1 3 2",1,0.333333333333333
"23",1,"3 1 2 4","1 4 2 3",1,0.5
"24",2,"3 1 2 4","1 4 3 2",1,0.5
"25",1,"3 1 4 2","2 3 4 1",1,1
"26",1,"3 2 1 4","2 3 1 4",2,0.5
"27",2,"3 2 1 4","3 2 1 4",1,0.25
"28",3,"3 2 1 4","4 1 2 3",1,0.25
"29",1,"3 2 4 1","2 3 4 1",2,0.666666666666667
"30",2,"3 2 4 1","3 2 4 1",1,0.333333333333333
"31",1,"3 4 1 2","4 1 2 3",2,1
"32",1,"3 4 2 1","4 1 2 3",2,0.5
"33",2,"3 4 2 1","4 1 3 2",2,0.5
"34",1,"4 1 2 3","2 3 4 1",1,0.333333333333333
"35",2,"4 1 2 3","3 2 4 1",2,0.666666666666667
"36",1,"4 1 3 2","2 3 4 1",1,0.333333333333333
"37",2,"4 1 3 2","3 2 4 1",2,0.666666666666667
"38",1,"4 2 1 3","3 2 4 1",1,0.333333333333333
"39",2,"4 2 1 3","4 1 2 3",1,0.333333333333333
"40",3,"4 2 1 3","4 1 3 2",1,0.333333333333333
"41",1,"4 2 3 1","3 2 4 1",1,1
"42",1,"4 3 1 2","4 1 2 3",1,0.333333333333333
"43",2,"4 3 1 2","4 1 3 2",2,0.666666666666667
"44",1,"4 3 2 1","4 1 3 2",2,1
