"","PROLIFIC_PID","condition","event_set1_marginal","event_set1_conjunction","event_set1_disjunction","event_set1_order","event_set2_marginal","event_set2_conjunction","event_set2_disjunction","event_set2_order","event_set3_marginal","event_set3_conjunction","event_set3_disjunction","event_set3_order","event_set4_marginal","event_set4_conjunction","event_set4_disjunction","event_set4_order","event_set5_marginal","event_set5_conjunction","event_set5_disjunction","event_set5_order","event_set6_marginal","event_set6_conjunction","event_set6_disjunction","event_set6_order","event_set7_marginal","event_set7_conjunction","event_set7_disjunction","event_set7_order","event_set8_marginal","event_set8_conjunction","event_set8_disjunction","event_set8_order","numeracy_score","response_time","strat_1","Strat_2"
"1","5e5e7e47af84e81a6ddb2a8c","pair","2 _ 3 _ 1 _ 4","1 _ 3 _ 2 _ 4","3 _ 2 _ 1 _ 4","marginal_disjunction_conjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","2 _ 3 _ 4 _ 1","3 _ 1 _ 4 _ 2","2 _ 1 _ 3 _ 4","disjunction_conjunction_marginal","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","4 _ 1 _ 3 _ 2","4 _ 2 _ 3 _ 1","4 _ 2 _ 3 _ 1","conjunction_disjunction_marginal","3 _ 2 _ 4 _ 1","4 _ 1 _ 3 _ 2","4 _ 1 _ 2 _ 3","disjunction_marginal_conjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-",4,"746","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"2","5f204cc6ada2af19cfce3568","pair","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","2 _ 3 _ 1 _ 4","2 _ 3 _ 1 _ 4","2 _ 3 _ 1 _ 4","marginal_conjunction_disjunction","2 _ 3 _ 1 _ 4","2 _ 3 _ 4 _ 1","3 _ 2 _ 1 _ 4","marginal_conjunction_disjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","4 _ 1 _ 3 _ 2","4 _ 1 _ 3 _ 2","4 _ 3 _ 2 _ 1","marginal_conjunction_disjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","1 _ 4 _ 2 _ 3","4 _ 1 _ 2 _ 3","1 _ 4 _ 2 _ 3","conjunction_disjunction_marginal",2,"928","Recall or imagine the frequencies of occurrence for each event within some timescale (e.g., twice per year).,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings.,Think about all events at the same time, and then come up with a full ranking simultaneously."
"3","5cebae5b2e4f1700012a915a","pair","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","2 _ 3 _ 4 _ 1","3 _ 1 _ 4 _ 2","1 _ 2 _ 3 _ 4","disjunction_conjunction_marginal","3 _ 2 _ 4 _ 1","4 _ 1 _ 3 _ 2","3 _ 4 _ 2 _ 1","disjunction_marginal_conjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","2 _ 3 _ 1 _ 4","2 _ 1 _ 3 _ 4","3 _ 4 _ 2 _ 1","conjunction_marginal_disjunction","3 _ 2 _ 4 _ 1","2 _ 3 _ 4 _ 1","2 _ 3 _ 4 _ 1","disjunction_conjunction_marginal","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-",3,"1007","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings.,Think about all events at the same time, and then come up with a full ranking simultaneously."
"4","5ebd69cfb6b9b70571a22c00","full"," _  _  _ "," _  _  _ "," _  _  _ ","-","1 _ 3 _ 4 _ 2","3 _ 1 _ 4 _ 2","1 _ 2 _ 4 _ 3","conjunction_disjunction_marginal"," _  _  _ "," _  _  _ "," _  _  _ ","-","1 _ 4 _ 3 _ 2","2 _ 1 _ 4 _ 3","2 _ 1 _ 4 _ 3","marginal_disjunction_conjunction","_","_","_","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","3 _ 1 _ 4 _ 2","4 _ 2 _ 3 _ 1","4 _ 2 _ 3 _ 1","conjunction_marginal_disjunction","2 _ 3 _ 1 _ 4","1 _ 3 _ 2 _ 4","1 _ 3 _ 2 _ 4","marginal_disjunction_conjunction",6,"1036","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.,Recall or imagine the frequencies of occurrence for each event within some timescale (e.g., twice per year).,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Think about all events at the same time, and then come up with a full ranking simultaneously."
"5","5f03830b106061590be0005f","full"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","4 _ 1 _ 3 _ 2","3 _ 4 _ 2 _ 1","4 _ 3 _ 2 _ 1","conjunction_disjunction_marginal","1 _ 3 _ 4 _ 2","2 _ 1 _ 4 _ 3","1 _ 2 _ 4 _ 3","conjunction_disjunction_marginal","_","_","_","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","2 _ 4 _ 3 _ 1","2 _ 1 _ 3 _ 4","1 _ 3 _ 2 _ 4","marginal_conjunction_disjunction","1 _ 4 _ 2 _ 3","1 _ 2 _ 3 _ 4","2 _ 1 _ 4 _ 3","disjunction_conjunction_marginal",6,"1076","Recall or imagine the frequencies of occurrence for each event within some timescale (e.g., twice per year).,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results.,Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"6","5f1d2a172171f8619f792aa4","pair","1 _ 4 _ 2 _ 3","4 _ 3 _ 1 _ 2","4 _ 3 _ 2 _ 1","marginal_conjunction_disjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","1 _ 4 _ 2 _ 3","2 _ 3 _ 4 _ 1","4 _ 1 _ 2 _ 3","conjunction_disjunction_marginal","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","3 _ 2 _ 1 _ 4","4 _ 3 _ 2 _ 1","4 _ 3 _ 2 _ 1","marginal_conjunction_disjunction","1 _ 4 _ 2 _ 3","1 _ 4 _ 2 _ 3","3 _ 4 _ 2 _ 1","disjunction_marginal_conjunction",6,"1034","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.","Think about all events at the same time, and then come up with a full ranking simultaneously."
"7","5ca333ab8001d50001c68a29","full","2 _ 4 _ 1 _ 3","1 _ 3 _ 2 _ 4","2 _ 3 _ 1 _ 4","conjunction_marginal_disjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","2 _ 3 _ 4 _ 1","4 _ 1 _ 3 _ 2","1 _ 3 _ 2 _ 4","disjunction_marginal_conjunction","_","_","_","-","4 _ 1 _ 3 _ 2","3 _ 4 _ 2 _ 1","3 _ 4 _ 2 _ 1","marginal_disjunction_conjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-",4,"1339","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.,Recall or imagine the frequencies of occurrence for each event within some timescale (e.g., twice per year).,Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results.,Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"8","5f0f1b669bc146057bb2a2a3","pair","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","3 _ 2 _ 1 _ 4","4 _ 2 _ 1 _ 3","4 _ 2 _ 3 _ 1","disjunction_conjunction_marginal","4 _ 1 _ 3 _ 2","2 _ 4 _ 1 _ 3","2 _ 1 _ 3 _ 4","marginal_conjunction_disjunction","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","NA _ NA _ NA _ NA"," _  _  _ "," _  _  _ ","-","4 _ 1 _ 3 _ 2","1 _ 3 _ 2 _ 4","1 _ 2 _ 3 _ 4","marginal_disjunction_conjunction","4 _ 1 _ 2 _ 3","1 _ 2 _ 4 _ 3","1 _ 2 _ 4 _ 3","marginal_conjunction_disjunction",6,"1222","Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Pick two events from the provide­­d sets of events and perform a pairwise comparison. Sort out the full ranking from a series of pairwise comparison results."
"9","5d970d28fa86b600170d9a26","full"," _  _  _ "," _  _  _ "," _  _  _ ","-","2 _ 3 _ 1 _ 4","1 _ 2 _ 3 _ 4","2 _ 3 _ 1 _ 4","disjunction_marginal_conjunction","4 _ 2 _ 1 _ 3","1 _ 2 _ 3 _ 4","2 _ 4 _ 3 _ 1","disjunction_marginal_conjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-","_","_","_","-"," _  _  _ "," _  _  _ "," _  _  _ ","-"," _  _  _ "," _  _  _ "," _  _  _ ","-","4 _ 2 _ 1 _ 3","2 _ 3 _ 1 _ 4","2 _ 3 _ 4 _ 1","disjunction_conjunction_marginal",1,"2481","Imagine the likelihood of occurrence for each event on a probability scale from 0% to 100%.","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings."
"10","5ba4e5c0236c690001d2b3ca","full","1 _ 4 _ 2 _ 3","2 _ 1 _ 3 _ 4","1 _ 2 _ 3 _ 4","conjunction_marginal_disjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-","4 _ 1 _ 3 _ 2","4 _ 3 _ 2 _ 1","4 _ 3 _ 2 _ 1","conjunction_marginal_disjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-","_","_","_","-","3 _ 1 _ 4 _ 2","4 _ 2 _ 3 _ 1","3 _ 2 _ 4 _ 1","disjunction_conjunction_marginal","1 _ 4 _ 2 _ 3","1 _ 2 _ 3 _ 4","1 _ 3 _ 2 _ 4","marginal_conjunction_disjunction"," _  _  _ "," _  _  _ "," _  _  _ ","-",7,"691","Imagine the likelihood of occurrence for each event on a vague probability scale (e.g., very likely, somewhat likely, not likely).","Think about more than two events at the same time and come up with rankings for these events simultaneously. Sort out the full rankings based on these rankings.,Think about all events at the same time, and then come up with a full ranking simultaneously."
