"","P(A)_P(¬A)_P(B)_P(¬B)","P(A^B)_P(A^¬B)_P(¬A^B)_P(¬B^¬A)","P(A∨B)_P(A^∨B)_P(¬A∨B)_P(¬B∨¬A)"
"1","4_2_3_1","3_2_4_1","4_3_1_2"
"2","3_2_4_1","4_2_3_1","4_2_3_1"
"3","3_2_4_1","3_2_4_1","4_2_3_1"
"4","3_2_4_1","4_2_3_1","4_1_3_2"
"5","3_2_4_1","3_2_4_1","4_1_3_2"
"6","3_2_4_1","4_1_3_2","4_1_3_2"
"7","2_3_4_1","4_1_3_2","3_1_4_2"
"8","2_3_4_1","3_1_4_2","3_2_4_1"
"9","2_3_4_1","4_1_3_2","3_2_4_1"
"10","2_3_4_1","3_1_4_2","3_1_4_2"
"11","1_4_3_2","4_1_3_2","2_1_4_3"
"12","4_1_3_2","4_2_3_1","4_2_3_1"
"13","2_3_4_1","3_1_4_2","4_2_3_1"
"14","2_4_3_1","2_1_3_4","2_1_4_3"
"15","4_2_3_1","2_3_4_1","4_3_1_2"
"16","1_3_4_2","4_1_3_2","3_2_4_1"
"17","3_2_4_1","3_4_2_1","4_1_2_3"
"18","2_3_4_1","4_1_2_3","1_2_4_3"
"19","3_2_4_1","2_3_4_1","4_1_3_2"
"20","2_3_4_1","4_1_3_2","4_1_3_2"
"21","2_4_3_1","3_1_2_4","2_3_4_1"
"22","4_1_3_2","2_4_3_1","4_2_1_3"
"23","3_2_4_1","3_1_4_2","3_1_4_2"
"24","3_2_4_1","4_3_2_1","4_2_3_1"
"25","3_2_4_1","4_1_3_2","3_1_4_2"
"26","2_3_4_1","2_1_3_4","3_1_4_2"
"27","4_1_3_2","2_3_4_1","4_3_1_2"
"28","2_3_4_1","4_2_3_1","3_1_4_2"
"29","2_3_4_1","4_1_2_3","2_3_4_1"
"30","3_1_4_2","4_3_2_1","4_2_1_3"
"31","2_3_4_1","3_2_4_1","4_1_3_2"
"32","2_3_4_1","3_1_2_4","2_1_4_3"
"33","3_2_4_1","3_4_2_1","4_3_2_1"
"34","2_3_4_1","3_1_4_2","4_1_3_2"
"35","2_3_4_1","2_1_3_4","2_1_4_3"
"36","4_1_3_2","3_4_2_1","4_2_3_1"
"37","2_4_3_1","3_1_4_2","2_1_4_3"
"38","4_1_3_2","3_4_2_1","4_1_3_2"
"39","3_2_4_1","3_1_4_2","3_2_4_1"
"40","2_3_4_1","2_1_3_4","2_3_4_1"
"41","2_3_4_1","3_2_4_1","4_2_3_1"
"42","2_4_3_1","4_1_3_2","1_2_4_3"
"43","4_2_3_1","4_3_2_1","4_2_3_1"
"44","2_3_4_1","3_1_2_4","1_3_4_2"
"45","3_1_4_2","4_2_3_1","4_1_3_2"
"46","1_4_3_2","3_1_4_2","3_2_4_1"
"47","4_2_3_1","2_4_3_1","4_2_1_3"
"48","1_3_4_2","4_1_2_3","3_1_4_2"
"49","3_1_4_2","2_4_3_1","4_2_3_1"
"50","2_3_4_1","3_2_4_1","3_2_4_1"
"51","3_1_4_2","2_4_3_1","4_1_3_2"
"52","2_3_4_1","4_1_3_2","2_3_4_1"
"53","3_1_4_2","3_4_2_1","4_2_3_1"
"54","2_4_3_1","4_1_2_3","1_2_4_3"
"55","1_4_3_2","3_1_2_4","2_3_4_1"
"56","4_2_3_1","4_3_2_1","4_1_2_3"
"57","3_2_4_1","3_2_4_1","3_2_4_1"
"58","1_4_3_2","4_1_3_2","1_2_4_3"
"59","3_1_4_2","2_3_4_1","4_3_1_2"
"60","3_2_4_1","3_1_4_2","4_1_3_2"
"61","1_4_3_2","2_1_3_4","3_2_4_1"
"62","3_1_4_2","3_2_4_1","4_1_3_2"
"63","2_3_4_1","4_1_2_3","3_2_4_1"
"64","3_2_4_1","3_4_2_1","4_1_3_2"
"65","2_3_4_1","4_1_2_3","2_1_4_3"
"66","3_2_4_1","3_2_4_1","3_1_4_2"
"67","2_4_3_1","4_1_3_2","1_3_4_2"
"68","4_2_3_1","2_3_4_1","4_2_1_3"
"69","3_2_4_1","2_4_3_1","4_1_2_3"
"70","1_3_4_2","2_1_4_3","3_1_4_2"
"71","4_2_3_1","4_3_2_1","4_3_2_1"
"72","1_3_4_2","3_1_4_2","1_3_4_2"
"73","4_2_3_1","4_3_2_1","4_3_1_2"
"74","3_2_4_1","3_4_2_1","4_2_1_3"
"75","2_4_3_1","4_1_3_2","2_3_4_1"
"76","4_1_3_2","4_2_3_1","4_1_3_2"
"77","3_2_4_1","2_4_3_1","4_1_3_2"
"78","1_3_4_2","2_1_4_3","2_1_4_3"
"79","3_1_4_2","2_3_4_1","4_2_1_3"
"80","2_4_3_1","2_1_3_4","1_2_4_3"
"81","3_2_4_1","4_1_3_2","4_2_3_1"
"82","2_4_3_1","3_1_4_2","3_2_4_1"
"83","3_2_4_1","2_3_4_1","4_1_2_3"
"84","2_3_4_1","3_1_4_2","1_2_4_3"
"85","1_4_3_2","3_1_2_4","3_2_4_1"
"86","2_4_3_1","4_1_3_2","3_1_4_2"
"87","4_1_3_2","2_3_4_1","4_1_3_2"
"88","2_3_4_1","4_2_3_1","4_1_3_2"
"89","3_1_4_2","3_2_4_1","4_3_2_1"
"90","2_3_4_1","3_2_4_1","3_1_4_2"
"91","1_4_3_2","4_1_2_3","1_2_4_3"
"92","2_3_4_1","3_1_2_4","3_1_4_2"
"93","3_2_4_1","4_3_2_1","4_3_2_1"
"94","2_3_4_1","2_1_3_4","3_2_4_1"
"95","4_2_3_1","3_2_4_1","4_1_2_3"
"96","2_4_3_1","2_1_4_3","3_2_4_1"
"97","3_1_4_2","3_4_2_1","4_3_1_2"
"98","1_4_3_2","2_1_4_3","3_1_4_2"
"99","4_2_3_1","3_4_2_1","4_3_1_2"
"100","1_3_4_2","3_1_2_4","3_1_4_2"
"101","1_3_4_2","3_1_4_2","2_1_4_3"
"102","4_1_3_2","4_2_3_1","4_1_2_3"
"103","3_2_4_1","3_1_4_2","4_2_3_1"
"104","2_3_4_1","2_1_4_3","1_2_4_3"
"105","4_2_3_1","4_2_3_1","4_3_2_1"
"106","2_4_3_1","2_1_3_4","3_1_4_2"
"107","4_2_3_1","3_4_2_1","4_2_1_3"
"108","1_4_3_2","4_1_3_2","2_3_4_1"
"109","2_3_4_1","2_1_4_3","3_2_4_1"
"110","3_1_4_2","3_2_4_1","4_2_1_3"
"111","2_3_4_1","4_2_3_1","4_2_3_1"
"112","3_1_4_2","2_4_3_1","4_3_2_1"
"113","2_4_3_1","3_1_4_2","1_2_4_3"
"114","3_2_4_1","2_3_4_1","4_2_1_3"
"115","3_2_4_1","4_2_3_1","3_1_4_2"
"116","2_3_4_1","3_1_2_4","2_3_4_1"
"117","4_2_3_1","4_3_2_1","4_2_1_3"
